[2026-06-22 16:28:00,020] INFO d=64 round=11 | acc=99.07% det=0.0% tp=0 fn=2 proving=35.1ms proof=6.16KB
wandb: WARNING Tried to log to step 11 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:28:29,888] INFO d=64 round=12 | acc=99.09% det=0.0% tp=0 fn=2 proving=37.8ms proof=6.16KB
wandb: WARNING Tried to log to step 12 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:28:59,592] INFO d=64 round=13 | acc=99.11% det=0.0% tp=0 fn=2 proving=36.5ms proof=6.16KB
wandb: WARNING Tried to log to step 13 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:29:29,341] INFO d=64 round=14 | acc=99.10% det=0.0% tp=0 fn=2 proving=37.4ms proof=6.16KB
wandb: WARNING Tried to log to step 14 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:29:59,230] INFO d=64 round=15 | acc=99.15% det=0.0% tp=0 fn=2 proving=38.1ms proof=6.16KB
wandb: WARNING Tried to log to step 15 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:30:28,684] INFO d=64 round=16 | acc=99.19% det=0.0% tp=0 fn=2 proving=34.6ms proof=6.16KB
wandb: WARNING Tried to log to step 16 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:30:58,618] INFO d=64 round=17 | acc=99.13% det=0.0% tp=0 fn=2 proving=36.6ms proof=6.16KB
wandb: WARNING Tried to log to step 17 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:31:28,074] INFO d=64 round=18 | acc=99.19% det=0.0% tp=0 fn=2 proving=38.3ms proof=6.16KB
wandb: WARNING Tried to log to step 18 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:31:57,479] INFO d=64 round=19 | acc=99.24% det=0.0% tp=0 fn=2 proving=35.5ms proof=6.16KB
[2026-06-22 16:31:57,480] INFO d=64 DONE | det_rate=0.0% proving=36.7ms proof=6.16KB
[2026-06-22 16:31:57,481] INFO Saved per-d log to /workspace/output/ablation_d_logs/d64_results.json
[2026-06-22 16:31:57,488] INFO === d=128: starting 20 rounds ===
[2026-06-22 16:32:27,056] INFO d=128 round= 0 | acc=94.34% det=0.0% tp=0 fn=2 proving=64.9ms proof=12.28KB
wandb: WARNING Tried to log to step 0 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:32:56,572] INFO d=128 round= 1 | acc=97.19% det=0.0% tp=0 fn=2 proving=66.6ms proof=12.28KB
wandb: WARNING Tried to log to step 1 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:33:25,656] INFO d=128 round= 2 | acc=97.84% det=0.0% tp=0 fn=2 proving=60.7ms proof=12.28KB
wandb: WARNING Tried to log to step 2 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:33:54,961] INFO d=128 round= 3 | acc=98.17% det=0.0% tp=0 fn=2 proving=64.0ms proof=12.28KB
wandb: WARNING Tried to log to step 3 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:34:24,208] INFO d=128 round= 4 | acc=98.39% det=0.0% tp=0 fn=2 proving=63.4ms proof=12.28KB
wandb: WARNING Tried to log to step 4 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
